Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
500325,RELIANCE,A,1601.90,1617.70,1584.15,1597.05,299189,4790.00,12865,
500034,BAJFINANCE,A,2342.00,2366.05,2275.10,2306.70,183121,4248.00,12297,
532454,BHARTIARTL,A,590.00,590.00,567.70,571.60,711683,4109.00,13045,
500112,SBIN,A,176.85,180.90,176.00,178.00,1784724,3187.00,10751,
532187,INDUSINDBK,A,419.95,427.20,411.30,415.40,628699,2636.00,9685,
500470,TATASTEEL,A,324.90,340.60,324.85,339.10,717691,2393.00,8064,
500570,TATAMOTORS,A,100.90,105.50,99.60,105.00,2158209,2228.00,8877,
500180,HDFCBANK,A,1003.00,1025.30,1002.35,1012.80,217905,2214.00,5860,
532215,AXISBANK,A,399.70,402.45,390.60,394.20,433757,1720.00,7231,
505537,ZEEL,A,209.40,210.30,202.30,206.70,775794,1602.00,6849,
524715,SUNPHARMA*,A,500.00,508.80,498.25,503.80,305387,1542.00,5274,
532174,ICICIBANK,A,349.90,354.60,347.10,348.85,416831,1461.00,5236,
500228,JSWSTEEL,A,196.00,201.50,194.60,200.65,682265,1357.00,5508,
500010,HDFC,A,1774.10,1788.15,1744.60,1744.60,71628,1263.00,3995,
532500,MARUTI,A,5725.10,5777.00,5671.60,5713.25,20303,1162.00,3015,
500510,LT,A,937.50,964.90,937.50,953.70,118677,1131.00,4867,
500247,KOTAKBANK,A,1341.00,1358.00,1321.80,1326.80,71215,954.00,4424,
532540,TCS,A,2093.90,2094.95,2040.90,2050.10,44923,923.00,4164,
500440,HINDALCO,A,144.00,151.00,143.65,149.80,602568,894.00,4682,
532978,BAJAJFINSV,A,5160.00,5250.00,5098.00,5139.05,16466,852.00,2606,
512070,UPL,A,423.00,441.95,423.00,438.60,169676,739.00,3894,
500547,BPCL,A,355.00,364.45,352.15,363.90,185937,667.00,2596,
532538,ULTRACEMCO,A,3831.00,3928.50,3821.80,3872.00,16558,643.00,2001,
500696,HINDUNILVR,A,2121.00,2130.00,2087.30,2101.15,27323,574.00,2430,
500820,ASIANPAINT,A,1654.00,1658.80,1621.35,1622.65,33957,556.00,2354,
500295,VEDL,A,105.30,105.50,102.95,103.45,487965,508.00,2423,
500825,BRITANNIA,A,3480.00,3480.70,3401.50,3414.00,13383,459.00,1229,
505200,EICHERMOT,A,17540.00,17622.95,17312.90,17373.00,2470,431.00,822,
530965,IOC,A,86.50,88.35,86.25,88.30,468747,409.00,1780,
532755,TECHM,A,589.00,593.50,582.60,589.60,69312,407.00,2028,
500087,CIPLA,A,663.00,669.65,656.80,658.80,57536,381.00,1325,
500875,ITC,A,200.70,201.85,198.75,199.35,177695,355.00,1592,
500209,INFY,A,708.00,708.00,702.60,702.90,48953,344.00,1391,
532281,HCLTECH,A,583.00,586.50,573.00,578.65,52484,304.00,1133,
500520,M&M,A,479.00,489.30,476.65,484.60,59788,290.00,1256,
507685,WIPRO,A,219.50,220.00,215.25,218.40,133792,290.00,1584,
532898,POWERGRID,A,168.10,171.50,164.85,170.55,172483,289.00,1565,
500114,TITAN,A,973.00,990.35,967.20,974.25,29143,285.00,1272,
500124,DRREDDY,A,4006.00,4042.00,3995.25,4034.30,6870,276.00,995,
500300,GRASIM,A,609.00,626.95,609.00,615.35,42457,262.00,1251,
532977,BAJAJ-AUTO,A,2834.00,2844.00,2763.05,2783.75,9101,253.00,832,
500182,HEROMOTOCO,A,2340.00,2364.45,2323.85,2334.80,10792,252.00,976,
500790,NESTLEIND,A,17344.35,17461.30,17203.00,17206.95,1167,202.00,454,
500312,ONGC,A,85.50,87.40,85.10,87.15,225165,195.00,1118,
532555,NTPC,A,95.15,96.50,94.55,96.30,178911,171.00,811,
533278,COALINDIA,A,141.20,143.50,140.75,143.40,112112,159.00,952,
532155,GAIL,A,98.00,99.00,96.60,97.15,124439,121.00,724,
500096,DABUR,A,463.95,465.50,459.10,460.10,16717,77.20,451,
532921,ADANIPORTS,A,343.75,344.55,337.55,343.15,22515,77.10,428,
570001,TATAMTRDVR,A,42.90,44.30,42.70,44.30,154599,67.43,525,
532424,GODREJCP,A,668.80,668.80,653.95,660.45,10035,66.19,528,

